Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.X_CMCC_PortalManagement,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_ReConnect,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Restore,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_ServiceManage,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Syslog,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_TeleComAccount,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_UPNP,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_UpLinkType,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2025-07-29T14:49:13.180Z,false,2025-07-29T14:49:13.180Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2025-07-29T14:49:13.180Z,false,2025-07-29T14:49:13.180Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2025-07-29T14:49:13.180Z,false,2025-07-29T14:49:13.180Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Active,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"TRUE",xsd:boolean,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.AddressSource,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"DHCP",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.HostName,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"Galaxy-A03s",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.IPAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"192.168.1.4",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.InterfaceType,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"802.11",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Layer2Interface,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.LeaseTimeRemaining,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"47362",xsd:int,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.MACAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"7E:C2:BB:83:FC:EB",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.X_CMCC_Stats,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.X_CMCC_Stats.BytesReceived,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"1666319998",xsd:unsignedInt,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.X_CMCC_Stats.BytesSent,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"94976250",xsd:unsignedInt,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Active,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"TRUE",xsd:boolean,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.AddressSource,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"DHCP",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.HostName,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"OPPO-A53",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.IPAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"192.168.1.5",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.InterfaceType,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"802.11",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Layer2Interface,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.LeaseTimeRemaining,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"65957",xsd:int,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.MACAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"66:BA:11:40:61:D8",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.X_CMCC_Stats,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.X_CMCC_Stats.BytesReceived,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"1012665278",xsd:unsignedInt,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.X_CMCC_Stats.BytesSent,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"114000038",xsd:unsignedInt,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.Active,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"TRUE",xsd:boolean,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.AddressSource,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"DHCP",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.HostName,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"Redmi-10",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.IPAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"192.168.1.3",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.InterfaceType,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"802.11",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.Layer2Interface,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.LeaseTimeRemaining,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"79915",xsd:int,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.MACAddress,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"6E:0A:CD:86:A7:35",xsd:string,2025-07-29T15:14:44.096Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.X_CMCC_Stats,true,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.X_CMCC_Stats.BytesReceived,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"946884938",xsd:unsignedInt,2025-07-29T15:14:44.098Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.X_CMCC_Stats.BytesSent,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"84166177",xsd:unsignedInt,2025-07-29T15:14:44.098Z,,,,
