Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.Hosts.Host.12,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.Active,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.AddressSource,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.HostName,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"VY20",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.IPAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"192.168.1.8",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.InterfaceType,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.LeaseTimeRemaining,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12.MACAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"EE:76:33:7E:72:A9",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Active,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.AddressSource,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.HostName,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"OPPO-A60",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.IPAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"192.168.1.6",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.InterfaceType,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.LeaseTimeRemaining,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.MACAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"D2:DC:0D:17:03:5F",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.Active,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.AddressSource,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.HostName,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.IPAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"192.168.1.7",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.InterfaceType,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.LeaseTimeRemaining,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.MACAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"0C:98:38:FB:2E:3B",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.Active,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.AddressSource,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.HostName,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"Redmi-13C",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.IPAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"192.168.1.4",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.InterfaceType,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.LeaseTimeRemaining,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.8.MACAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"86:5B:DC:A1:1D:05",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.Active,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.AddressSource,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.HostName,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"Redmi-10-2022",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.IPAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"192.168.1.5",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.InterfaceType,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.LeaseTimeRemaining,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.MACAddress,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"74:F2:FA:F1:11:0F",xsd:string,2025-07-29T16:01:15.522Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration,true,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,true,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AuthenticationServiceMode,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AutoRateFallBackEnabled,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BSSID,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BandWidth,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicAuthenticationMode,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicDataTransmitRates,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicEncryptionModes,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconAdvertisementEnabled,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconType,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Channel,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.ChannelsInUse,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.DeviceOperationMode,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.DistanceFromRoot,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Enable,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.ExternelChannel,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iAuthenticationMode,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iEncryptionModes,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.InsecureOOBAccessEnabled,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IsolationEnable,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.KeyPassphrase,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",xsd:string,2025-07-29T16:01:15.520Z,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.LocationDescription,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MACAddressControlEnabled,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MaxBitRate,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MaxUserNum,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.OperationalDataTransmitRates,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PeerBSSID,false,2025-07-29T16:01:15.444Z,true,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PossibleChannels,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PossibleDataTransmitRates,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
